iteration,loss,score,ALPHA,COV,PS,MW,MAMM,WAMM,AISL,MASE,CV%
0,COPOC,min-CPS,0.020000000000000018,1.0,3.8333333333333335,2.8333333333333335,,0.0,2.8333333333333335,0.0,0.0
0,COPOC,min-CPS,0.030000000000000027,1.0,3.8333333333333335,2.8333333333333335,,0.0,2.8333333333333335,0.0,0.0
0,COPOC,min-CPS,0.050000000000000044,1.0,3.0,2.0,,0.0,2.0,0.0,0.0
0,COPOC,min-CPS,0.07999999999999996,0.9696969696969697,2.621212121212121,1.621212121212121,1.0,1.0,2.3787878787878793,0.030303030303030304,0.0
0,COPOC,min-CPS,0.09999999999999998,0.9696969696969697,2.5606060606060606,1.5606060606060606,1.5,2.0,2.4696969696969697,0.045454545454545456,0.0
0,COPOC,min-CPS,0.13,0.9242424242424242,2.015151515151515,1.0151515151515151,1.6,3.0,2.87995337995338,0.12121212121212122,0.0
0,COPOC,min-CPS,0.15000000000000002,0.9090909090909091,1.9090909090909092,0.9090909090909091,1.5,3.0,2.727272727272727,0.13636363636363635,0.0
0,COPOC,min-CPS,0.18000000000000005,0.8333333333333334,1.621212121212121,0.6212121212121212,1.3636363636363635,3.0,3.1464646464646457,0.22727272727272727,0.0
0,COPOC,min-CPS,0.19999999999999996,0.8181818181818182,1.5757575757575757,0.5757575757575758,1.3333333333333333,3.0,3.000000000000001,0.24242424242424243,0.0
0,COPOC,RPS,0.020000000000000018,1.0,3.9242424242424243,2.9242424242424243,,0.0,2.9242424242424243,0.0,0.0
0,COPOC,RPS,0.030000000000000027,1.0,3.9242424242424243,2.9242424242424243,,0.0,2.9242424242424243,0.0,0.0
0,COPOC,RPS,0.050000000000000044,1.0,3.803030303030303,2.803030303030303,,0.0,2.803030303030303,0.0,0.0
0,COPOC,RPS,0.07999999999999996,0.9696969696969697,3.106060606060606,2.106060606060606,1.0,1.0,2.863636363636364,0.030303030303030304,0.0
0,COPOC,RPS,0.09999999999999998,0.9545454545454546,2.8181818181818183,1.8181818181818181,1.3333333333333333,2.0,3.0303030303030303,0.06060606060606061,0.0
0,COPOC,RPS,0.13,0.9090909090909091,2.6666666666666665,1.6666666666666667,1.1666666666666667,2.0,3.2983682983682985,0.10606060606060606,0.0
0,COPOC,RPS,0.15000000000000002,0.9090909090909091,2.6363636363636362,1.6363636363636365,1.1666666666666667,2.0,3.0505050505050506,0.10606060606060606,0.0
0,COPOC,RPS,0.18000000000000005,0.8484848484848485,2.515151515151515,1.5151515151515151,1.1,2.0,3.3670033670033668,0.16666666666666666,0.0
0,COPOC,RPS,0.19999999999999996,0.8333333333333334,1.6363636363636365,0.6363636363636364,1.2727272727272727,3.0,2.757575757575758,0.21212121212121213,0.0
0,COPOC,OCDF,0.020000000000000018,1.0,3.909090909090909,2.909090909090909,,0.0,2.909090909090909,0.0,0.0
0,COPOC,OCDF,0.030000000000000027,1.0,3.909090909090909,2.909090909090909,,0.0,2.909090909090909,0.0,0.0
0,COPOC,OCDF,0.050000000000000044,1.0,3.5,2.5,,0.0,2.5,0.0,0.0
0,COPOC,OCDF,0.07999999999999996,0.9696969696969697,3.196969696969697,2.196969696969697,1.5,2.0,3.3333333333333344,0.045454545454545456,0.0
